whisky,meta_critic,stdev,count,cost,class,super_cluster,cluster,country,type
1792 Full Proof Bourbon,8.95,0.28,4,$$$,Bourbon-like,,,USA,Bourbon
1792 Port Finished Bourbon,8.47,0.09,4,$$$,Bourbon-like,,,USA,Bourbon
1792 Ridgemont Reserve/Small Batch Bourbon,8.59,0.41,15,$$,Bourbon-like,,,USA,Bourbon
1792 Single Barrel Bourbon,8.60,0.39,4,$$$,Bourbon-like,,,USA,Bourbon
1792 Sweet Wheat Bourbon,8.66,0.21,7,$$$$,Bourbon-like,,,USA,Bourbon
2 Gingers Irish Whiskey,8.05,0.35,3,$$,Scotch-like,,,Ireland,Blend
66 Gilead Crimson Rye,8.32,0.45,6,$$,Rye-like,,,Canada,Blend
66 Gilead The Wild Oak,8.04,0.51,6,$$,Bourbon-like,,,Canada,Blend
8 Seconds,7.55,0.44,5,$$,Rye-like,,,Canada,Blend
Aberfeldy 12yo,8.18,0.32,18,$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberfeldy 16yo,8.45,0.20,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberfeldy 18yo,8.66,0.26,6,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberfeldy 21yo,8.78,0.20,10,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Aberlour 10yo,8.28,0.34,14,$$,SingleMalt-like,ABC,C,Scotland,Malt
Aberlour 12yo Double Cask Matured,8.34,0.19,15,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberlour 12yo Non-Chill-Filtered,8.79,0.24,11,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Aberlour 16yo Double Cask Matured,8.71,0.18,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour 18yo,8.76,0.28,12,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (all batches),8.95,0.16,23,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 30),8.96,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 32),8.85,0.68,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 33),9.13,0.12,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 34),8.88,0.29,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 35),9.00,0.23,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 36),9.00,0.48,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 37),9.10,0.07,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 38),8.67,0.17,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 39),9.04,0.22,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 40),9.10,0.15,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 42),8.78,0.11,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 45),8.99,0.27,5,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 46),8.93,0.07,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 47),8.92,0.36,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 48),8.79,0.53,4,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 49),9.14,0.06,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 50),8.74,0.34,7,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 52),8.98,0.17,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 53),9.06,0.03,3,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Aberlour A'Bunadh (Batch 54),8.94,0.17,6,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Alberta Premium,8.22,0.58,11,$,Rye-like,,,Canada,Blend
Alberta Premium Dark Horse,8.61,0.37,15,$,Rye-like,,,Canada,Blend
Alberta Rye Dark Batch,8.70,0.24,7,$$,Rye-like,,,Canada,Blend
Alberta Springs 10yo,8.29,0.42,9,$,Rye-like,,,Canada,Blend
Amrut 100 Peated,8.92,0.38,6,$$$$,SingleMalt-like,J,J,India,Malt
Amrut 6yo Virgin Oak Single Cask,9.09,0.23,3,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Bourbon Single Cask,8.73,0.30,12,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Double Cask,9.07,0.25,3,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Fusion,8.89,0.26,23,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Greedy Angels (8yo and 10yo),9.21,0.20,6,$$$$$+,SingleMalt-like,ABC,C,India,Malt
Amrut Herald,8.91,0.15,6,$$$$,SingleMalt-like,EF,E,India,Malt
Amrut Indian Single Malt,8.42,0.47,14,$$$,SingleMalt-like,GH,G,India,Malt
Amrut Intermediate Sherry,8.97,0.40,17,$$$$,SingleMalt-like,ABC,B,India,Malt
Amrut Kadhambam,8.93,0.29,12,$$$$,SingleMalt-like,ABC,C,India,Malt
Amrut Naarangi,8.46,0.65,8,$$$$$,SingleMalt-like,ABC,C,India,Malt
Amrut Peated Single Malt,8.69,0.33,11,$$$$,SingleMalt-like,J,J,India,Malt
Amrut Peated Single Malt Cask Strength,9.15,0.19,9,$$$$,SingleMalt-like,J,J,India,Malt
Amrut Portonova,8.99,0.29,16,$$$$,SingleMalt-like,ABC,C,India,Malt
Amrut Portpipe Peated Single Cask,8.84,0.36,9,$$$$,SingleMalt-like,J,J,India,Malt
Amrut PX Sherry Single Cask,8.77,0.47,8,$$$$,SingleMalt-like,ABC,A,India,Malt
Amrut Rye,8.87,0.14,4,$$$$,Rye-like,,,India,Rye
Amrut Spectrum,9.18,0.26,8,$$$$$,SingleMalt-like,ABC,C,India,Malt
Amrut Two Continents,8.80,0.45,12,$$$$,SingleMalt-like,EF,E,India,Malt
Ancient Age 10yo Kentucky Straight Bourbon,8.59,0.39,5,$,Bourbon-like,,,USA,Bourbon
Ancient Age Kentucky Straight Bourbon,7.69,0.59,7,$,Bourbon-like,,,USA,Bourbon
AnCnoc 12yo,8.62,0.32,18,$$$,SingleMalt-like,GH,H,Scotland,Malt
AnCnoc 16yo,8.68,0.34,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt
AnCnoc 18yo,8.64,0.37,8,$$$$,SingleMalt-like,EF,E,Scotland,Malt
AnCnoc 1975,8.88,0.55,4,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
AnCnoc 2000,8.62,0.18,4,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
AnCnoc 22yo,8.74,0.31,9,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
AnCnoc Cutter,9.00,0.54,7,$$$$,SingleMalt-like,J,J,Scotland,Malt
AnCnoc Flaughter,8.58,0.33,9,$$$$,SingleMalt-like,J,J,Scotland,Malt
AnCnoc Peter Arkle (all releases),8.43,0.28,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt
AnCnoc Rutter,8.97,0.29,6,$$$$,SingleMalt-like,J,J,Scotland,Malt
Angels Envy Rye Whiskey (Rum-finished),8.76,0.57,8,$$$$,Bourbon-like,,,USA,Bourbon
Angel's Envy Bourbon (Port-finished),8.46,0.44,13,$$$,Bourbon-like,,,USA,Bourbon
Angel's Envy Cask Strength,8.95,0.37,8,$$$$$+,Bourbon-like,,,USA,Bourbon
Ardbeg 10yo,8.95,0.32,23,$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 17yo,9.04,0.26,7,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg 21yo,9.18,0.24,10,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Alligator,9.05,0.16,13,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Ardbog The Ultimate,9.02,0.44,18,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Auriverdes,8.89,0.37,16,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Corryvreckan,9.09,0.31,20,$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Dark Cove,8.90,0.32,15,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Galileo,8.66,0.49,15,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Ardbeg Perpetuum,8.90,0.37,14,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2014,9.05,0.31,14,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Supernova 2015,9.00,0.33,7,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Ardbeg Uigeadail,9.20,0.40,22,$$$$,SingleMalt-like,J,J,Scotland,Malt
Ardmore Traditional Cask,8.54,0.18,19,$$$,SingleMalt-like,I,I,Scotland,Malt
Arran Malt 10yo,8.50,0.30,20,$$$,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt 12yo Cask Strength (all editions),8.66,0.39,12,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Arran Malt 14yo,8.68,0.27,19,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt 17yo,8.84,0.25,10,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt 18yo,8.93,0.13,13,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Amarone Cask Finish,8.77,0.35,10,$$$,SingleMalt-like,ABC,B,Scotland,Malt
Arran Malt Bourbon Single Cask,8.88,0.20,9,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Lochranza Reserve,8.04,0.60,4,$$$,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt Machrie Moor Cask Strength,8.78,0.08,3,$$$$,SingleMalt-like,I,I,Scotland,Malt
Arran Malt Machrie Moor Peated (all editions),7.88,0.56,12,$$$$,SingleMalt-like,I,I,Scotland,Malt
Arran Malt Madeira Wine Cask,8.63,0.43,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt Napoleon Cognac Finish,8.70,0.73,5,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Orkney Bere Barley,8.82,0.32,8,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Arran Malt Port Cask Finish,8.60,0.39,11,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt Robert Burns Single Malt,8.20,0.55,7,$$,SingleMalt-like,EF,F,Scotland,Malt
Arran Malt Sauternes Finish,8.52,0.32,11,$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Sherry Cask Finish,8.31,0.55,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt Sherry Single Cask,8.55,0.54,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Arran Malt The Devils Punch Bowl (all chapters),8.89,0.30,9,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Arran Malt Tokaji Aszu Wine Finish,8.79,0.36,4,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Auchentoshan 10yo,7.76,0.38,10,$$$,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan 12yo,8.29,0.26,21,$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan 18yo,8.36,0.36,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan 21yo,8.82,0.26,12,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Auchentoshan American Oak,7.60,0.88,7,$$,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan Classic,7.88,0.50,8,$$,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan Three Wood,8.25,0.41,21,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Auchentoshan Valinch,8.22,0.63,11,$$$,SingleMalt-like,GH,H,Scotland,Malt
Auchentoshan Virgin Oak,8.23,0.55,7,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Auchroisk 10yo (F&F),8.08,0.22,4,$$$,SingleMalt-like,EF,E,Scotland,Malt
Aultmore 12yo,8.41,0.22,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Aultmore 18yo,8.51,0.22,4,$$$$$,SingleMalt-like,GH,H,Scotland,Malt
Aultmore 25yo,8.92,0.24,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bain's Cape Mountain Whisky,8.14,0.50,7,$$,Scotch-like,,,South Africa,Grain
Bakers Kentucky Straight Bourbon 7yo,8.79,0.28,19,$$$,Bourbon-like,,,USA,Bourbon
Balblair 1989,8.53,0.46,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balblair 2000,8.38,0.32,9,$$$$,SingleMalt-like,GH,H,Scotland,Malt
Balcones Baby Blue,8.31,0.72,11,$$$$,Bourbon-like,,,USA,Whiskey
Balcones Texas Single Malt Whisky,8.68,0.34,10,$$$$,SingleMalt-like,EF,E,USA,Malt
Ballantine's 17yo,8.79,0.35,14,$$$$,Scotch-like,,,Scotland,Blend
Ballantine's Finest,7.62,0.60,12,$,Scotch-like,,,Scotland,Blend
Balvenie 12yo Doublewood,8.41,0.34,21,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie 12yo Single Barrel,8.62,0.33,11,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Balvenie 12yo Triple Cask,8.39,0.46,8,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie 14yo Carribean Cask,8.49,0.35,17,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Balvenie 15yo Single Barrel (Cask),8.85,0.24,22,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Balvenie 16yo Triple Cask,8.63,0.24,9,$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie 17yo Doublewood,8.72,0.24,11,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Balvenie 21yo Port Wood,8.78,0.37,15,$$$$$,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie 25yo Single Barrel,8.68,0.92,3,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Balvenie TUN 1401 (all 8 batches),9.15,0.30,15,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Balvenie TUN 1509 (all 3 batches),9.01,0.17,11,$$$$$+,SingleMalt-like,ABC,B,Scotland,Malt
Bank Note 5yo Blended Scotch,8.28,0.58,4,$,Scotch-like,,,Scotland,Blend
Basil Haydens Kentucky Bourbon,8.37,0.25,15,$$$,Bourbon-like,,,USA,Bourbon
Bell's Original Scotch Whisky,7.58,0.75,7,$,Scotch-like,,,Scotland,Blend
Ben Nevis 10yo,8.18,0.43,11,$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 10yo,8.54,0.17,9,$$$,SingleMalt-like,GH,G,Scotland,Malt
BenRiach 10yo Curiositas,8.61,0.30,18,$$$,SingleMalt-like,I,I,Scotland,Malt
BenRiach 12yo,8.43,0.26,14,$$$,SingleMalt-like,GH,G,Scotland,Malt
BenRiach 12yo Horizons,8.36,0.29,7,$$$$,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 12yo Matured in Sherry Wood,8.68,0.21,12,$$$,SingleMalt-like,ABC,B,Scotland,Malt
BenRiach 15yo Sauternes Finish,8.12,0.50,3,$$$$,SingleMalt-like,EF,F,Scotland,Malt
BenRiach 15yo Tawny Port Finish,8.43,0.31,12,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 17yo Septendecim Peated,8.53,0.55,17,$$$$,SingleMalt-like,J,J,Scotland,Malt
BenRiach 17yo Solstice 1st Peated Port Finish,8.88,0.19,3,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 17yo Solstice 2nd Peated Port Finish,8.90,0.43,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 17yo Solstice Peated Port (both editions),8.93,0.28,11,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 18yo Albariza Pedro Ximenez Peated,9.11,0.20,5,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
BenRiach 18yo Dunder,8.70,0.27,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt
BenRiach 18yo Latada,8.85,0.21,4,$$$$$,SingleMalt-like,ABC,B,Scotland,Malt
BenRiach 20yo,8.23,0.71,9,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
BenRiach 21yo Authenticus Peated,8.87,0.35,12,$$$$$,SingleMalt-like,I,I,Scotland,Malt
BenRiach 25yo,8.80,0.46,13,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
BenRiach 25yo Authenticus Peated,8.65,0.57,6,$$$$$,SingleMalt-like,I,I,Scotland,Malt
BenRiach 35yo,8.96,0.59,5,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
BenRiach Birnie Moss,8.27,0.36,10,$$$,SingleMalt-like,I,I,Scotland,Malt
BenRiach Cask Strength,8.86,0.11,4,$$$$,SingleMalt-like,GH,H,Scotland,Malt
BenRiach Heart of Speyside,7.63,0.97,6,$$$,SingleMalt-like,GH,H,Scotland,Malt
BenRiach Peated Quarter Casks,8.59,0.30,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Benrinnes 15yo F&F,8.34,0.81,7,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Benromach 10yo,8.69,0.27,20,$$$,SingleMalt-like,I,I,Scotland,Malt
Benromach 10yo Cask Strength (100 proof),9.02,0.15,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Benromach 15yo,8.66,0.46,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Benromach 5yo,8.80,0.18,4,$$,SingleMalt-like,GH,G,Scotland,Malt
Benromach Organic,8.50,0.49,13,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Benromach Peat Smoke,8.44,0.27,13,$$$$,SingleMalt-like,J,J,Scotland,Malt
Benromach Sassicaia,8.47,0.27,4,$$$$,SingleMalt-like,I,I,Scotland,Malt
Benromach Traditional,8.40,0.46,11,$$,SingleMalt-like,GH,G,Scotland,Malt
Bernheim Original Straight Wheat 7yo Small Batch,8.46,0.54,18,$$,Bourbon-like,,,USA,Wheat
Big Peat (Douglas Laing),8.80,0.22,14,$$$$,SingleMalt-like,I,I,Scotland,Malt
Big Peat Christmas Edition (2012-2016),8.85,0.16,9,$$$$,SingleMalt-like,J,J,Scotland,Malt
Black Bottle (after 2013 re-launch),7.80,0.41,10,$$,Scotch-like,,,Scotland,Blend
Black Bottle (pre-2013),8.24,0.51,13,$$,Scotch-like,,,Scotland,Blend
Black Velvet 3yo,7.74,0.91,9,$,Rye-like,,,Canada,Blend
Black Velvet Deluxe,7.16,0.74,8,$,Rye-like,,,Canada,Blend
Blair Athol 12yo (F&F),8.39,0.46,7,$$$,SingleMalt-like,ABC,C,Scotland,Malt
Blanton's Gold Kentucky Straight Bourbon,8.70,0.41,14,$$$$,Bourbon-like,,,USA,Bourbon
Blanton's Single Barrel Bourbon,8.63,0.31,18,$$$,Bourbon-like,,,USA,Bourbon
Blanton's Special Reserve,8.22,0.28,5,$$$,Bourbon-like,,,USA,Bourbon
Blanton's Straight from the Barrel Bourbon,8.95,0.30,6,$$$$,Bourbon-like,,,USA,Bourbon
Booker's Rye,9.29,0.22,8,$$$$$+,Rye-like,,,USA,Rye
Booker's Small Batch Straight Bourbon,8.87,0.28,16,$$$,Bourbon-like,,,USA,Bourbon
Bowmore 10yo Devil's Cask (all batches),8.82,0.32,16,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 10yo Tempest,8.79,0.20,18,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 12yo,8.39,0.28,18,$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 12yo Enigma,8.52,0.26,10,$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 15yo Darkest,8.59,0.34,19,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 15yo Laimrig,8.99,0.16,14,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore 15yo Mariner,8.64,0.45,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 17yo,8.34,0.65,7,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 17yo White Sands,8.47,0.56,5,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 18yo,8.55,0.48,16,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore 25yo,8.84,0.51,9,$$$$$+,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore Black Rock,8.16,0.27,5,$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore Gold Reef,8.32,0.40,5,$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Legend,7.67,0.57,10,$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Mizunara Cask Finish,8.88,0.44,3,$$$$$+,SingleMalt-like,I,I,Scotland,Malt
Bowmore Small Batch,8.26,0.55,11,$$$,SingleMalt-like,I,I,Scotland,Malt
Bowmore Springtide,9.06,0.76,4,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bowmore Vault Edition First Release,8.63,0.27,3,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Box The 2nd Step Collection 02,8.92,0.05,3,$$$$,SingleMalt-like,EF,E,Sweden,Malt
Box The Festival 2014,8.94,0.13,3,$$$$$,SingleMalt-like,J,J,Sweden,Malt
Brora 21yo,8.87,0.41,4,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Brora 30yo,9.30,0.22,17,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Brora 35yo,9.43,0.34,10,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich 21yo Cuve 382 La Berenice,8.57,0.61,5,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich 21yo Cuve 407 PX,8.97,0.20,3,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Bruichladdich 21yo Cuve 640 Eroica,8.72,0.41,8,$$$$$,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 1989,8.24,0.39,4,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 2.x 1989,9.06,0.19,7,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 3.x 1989,9.07,0.42,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Black Art 4.x 1990,8.54,0.60,10,$$$$$+,SingleMalt-like,EF,E,Scotland,Malt
Bruichladdich Classic Laddie Scottish Barley,8.39,0.44,8,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Infinity Third Edition,8.77,0.27,5,$$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Islay Barley (all vintages),8.57,0.23,12,$$$$,SingleMalt-like,I,I,Scotland,Malt
Bruichladdich Laddie Classic (Edition 01),8.42,0.56,6,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Sixteen,8.75,0.22,12,$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Ten,8.82,0.30,16,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Ten (Second Edition),8.89,0.27,7,$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Laddie Twenty Two,8.85,0.25,10,$$$$$,SingleMalt-like,GH,G,Scotland,Malt
Bruichladdich Octomore 10,8.88,0.41,5,$$$$$+,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 10 (Second Edition),9.15,0.20,4,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.1,8.73,0.26,13,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.2,9.10,0.26,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 6.3,8.75,0.62,8,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.1,8.98,0.28,10,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.2,8.96,0.33,6,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.3,9.01,0.42,6,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Octomore 7.4,8.56,0.69,7,$$$$$,SingleMalt-like,J,J,Scotland,Malt
Bruichladdich Rocks,8.36,0.29,10,$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bruichladdich Sherry Classic,8.25,0.85,6,$$$$,SingleMalt-like,EF,E,Scotland,Malt
Buffalo Trace Bourbon,8.58,0.41,19,$$,Bourbon-like,,,USA,Bourbon
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)",9.06,0.23,5,$$$$$,Bourbon-like,,,USA,Bourbon
Bulleit 10yo,8.53,0.39,13,$$$,Bourbon-like,,,USA,Bourbon
Bulleit Bourbon,8.38,0.37,21,$$,Bourbon-like,,,USA,Bourbon
Bulleit Rye,8.29,0.64,16,$$,Rye-like,,,USA,Rye
Bunnahabhain 12yo,8.58,0.30,17,$$$,SingleMalt-like,EF,F,Scotland,Malt
Bunnahabhain 18yo,9.03,0.19,14,$$$$$,SingleMalt-like,ABC,C,Scotland,Malt
Bunnahabhain 25yo,8.84,0.36,15,$$$$$+,SingleMalt-like,ABC,A,Scotland,Malt
Bunnahabhain 40yo,9.16,0.34,6,$$$$$+,SingleMalt-like,EF,F,Scotland,Malt
Bunnahabhain Cebanach,8.81,0.28,11,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bunnahabhain Darach Ur,8.39,0.32,10,$$$,SingleMalt-like,EF,F,Scotland,Malt
Bunnahabhain Eirigh Na Greine,8.28,0.46,6,$$$$,SingleMalt-like,EF,F,Scotland,Malt
Bunnahabhain Toiteach,8.59,0.38,14,$$$$,SingleMalt-like,J,J,Scotland,Malt
Bushmills 10yo Single Malt,8.19,0.30,18,$$$,SingleMalt-like,GH,G,Ireland,Malt
Bushmills 16yo Single Malt,8.48,0.48,16,$$$$,SingleMalt-like,ABC,B,Ireland,Malt
Bushmills 21yo Single Malt,8.93,0.34,11,$$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Bushmills Black Bush,8.35,0.40,20,$$,SingleMalt-like,ABC,C,Ireland,Blend
Bushmills Original Blended,7.65,0.47,15,$$,Scotch-like,,,Ireland,Blend
Bushmills Sherry Cask Reserve,8.16,0.40,3,$$$$,SingleMalt-like,ABC,C,Ireland,Malt
Canada Gold,8.10,0.66,5,$,Rye-like,,,Canada,Blend
Canadian Club (Premium),7.32,0.79,16,$,Rye-like,,,Canada,Blend
Canadian Club 100% Rye,8.33,0.42,14,$,Rye-like,,,Canada,Rye
Canadian Club 20yo,8.63,0.31,10,$$$,Rye-like,,,Canada,Blend
Canadian Club 30yo,9.02,0.19,6,$$$$$,Rye-like,,,Canada,Blend
Canadian Club Classic 12yo (Small Batch),8.18,0.42,13,$,Rye-like,,,Canada,Blend
Canadian Club Reserve 10yo,8.38,0.61,9,$$,Rye-like,,,Canada,Blend
Canadian Club Reserve 9yo,8.03,0.45,5,$,Rye-like,,,Canada,Blend
Canadian Club Sherry Cask,8.22,0.60,8,$$,Rye-like,,,Canada,Blend
Canadian Mist,7.63,0.63,11,$,Rye-like,,,Canada,Blend
